country,date,ML,Low_90,High_90
Netherlands,2020-03-08,1.8668486596265201,1.2925776492654333,2.4167032617596993
Netherlands,2020-03-09,1.8732783495366359,1.277150136372768,2.3849984748159594
Netherlands,2020-03-10,1.8888495580801161,1.3206026132702742,2.416541973077307
Netherlands,2020-03-11,1.8951552193183194,1.2944916002660596,2.3785544248833657
Netherlands,2020-03-12,1.8928410036711831,1.314599858584123,2.3858510845521113
Netherlands,2020-03-13,1.8957048803657839,1.357429537770816,2.42148046666522
Netherlands,2020-03-14,1.8830002349216861,1.3079678891295425,2.3502140557582045
Netherlands,2020-03-15,1.8739908054374645,1.3088949958214593,2.334678346731911
Netherlands,2020-03-16,1.872019884201423,1.3027157352476844,2.318411565315402
Netherlands,2020-03-17,1.860041808276627,1.329546334570542,2.303243270508886
Netherlands,2020-03-18,1.8408811729764167,1.3231459194504958,2.273294771208551
Netherlands,2020-03-19,1.7745815506473415,1.317220930689298,2.203303986471834
Netherlands,2020-03-20,1.6820313212572995,1.2759487832665104,2.052834165218768
Netherlands,2020-03-21,1.6314718880303452,1.236231041245737,1.9644485355188654
Netherlands,2020-03-22,1.5919557085637956,1.2635741587337992,1.9469792571258921
Netherlands,2020-03-23,1.5836032042465613,1.2417908424591075,1.9163340091521672
Netherlands,2020-03-24,1.5802080290919074,1.2167557727879297,1.8803005523839393
Netherlands,2020-03-25,1.553801999392147,1.206723526714808,1.85227396482226
Netherlands,2020-03-26,1.4687729319243041,1.1659025319115908,1.7501546728121478
Netherlands,2020-03-27,1.2995334233305094,1.050061093683319,1.5162288087575002
Netherlands,2020-03-28,1.1078740470060364,0.9414855396740298,1.2976792118916451
Netherlands,2020-03-29,1.0178256187976864,0.8689418355855562,1.1717954469961787
Netherlands,2020-03-30,0.9774448569923205,0.8397820308497259,1.114475051447267
Netherlands,2020-03-31,0.9776252577660934,0.8399404708732892,1.1072405192245856
Netherlands,2020-04-01,0.9935607683186768,0.8726851667499094,1.1442110767331763
Netherlands,2020-04-02,1.0212701583652528,0.882319352379596,1.1589179432625203
Netherlands,2020-04-03,1.026202748311578,0.8869082002404896,1.1595707721905086
Netherlands,2020-04-04,1.0124662019803137,0.8902221026900317,1.1381960419620025
Netherlands,2020-04-05,1.0074081403917625,0.8684886083224372,1.1297942874884355
Netherlands,2020-04-06,1.028556019637148,0.8971492890389532,1.169992948755151
Netherlands,2020-04-07,1.0850723816022119,0.9379827771596871,1.2327503794150123
Netherlands,2020-04-08,1.1345079681669603,0.9767593409015968,1.2853362613617376
Netherlands,2020-04-09,1.1385670595911326,0.979209976954257,1.3116068365549907
Netherlands,2020-04-10,1.095182856168815,0.9224992834628527,1.2460551122376409
Netherlands,2020-04-11,0.989069193780998,0.8396039462343322,1.140375047743701
Netherlands,2020-04-12,0.8777388772263908,0.7145310446555222,1.0102354836116256
Netherlands,2020-04-13,0.845507669437461,0.6977650938863771,0.9765691287838142
Netherlands,2020-04-14,0.8616327693167706,0.7203765673574859,1.0016024705315147
Netherlands,2020-04-15,0.9096664767585585,0.7595550252277495,1.0513300218336035
Netherlands,2020-04-16,0.9521068184789816,0.7935252691198101,1.0989468696999984
Netherlands,2020-04-17,0.9390660303911207,0.7872334103622124,1.099607261319381
Netherlands,2020-04-18,0.8845023536528933,0.731182952810356,1.035709778465644
Netherlands,2020-04-19,0.8085764677808633,0.6533746683575831,0.9692536781270783
Netherlands,2020-04-20,0.770543101301853,0.6110114868646301,0.9362743789493271
Netherlands,2020-04-21,0.7598979756790469,0.592490792134043,0.9292430243978995
Netherlands,2020-04-22,0.7733898431996836,0.6022183112969209,0.9574401718813658
Netherlands,2020-04-23,0.792148765658365,0.5838708440096411,0.990856686673987
Netherlands,2020-04-24,0.7942397281165827,0.5591366321392022,1.0398219065019791
Norway,2020-03-07,2.3072201553472698,1.3133343972366858,3.204247027050164
Norway,2020-03-08,2.443161350086924,1.5105329085705803,3.448848569728845
Norway,2020-03-09,2.4276649888688335,1.4691295787269865,3.3501661118968906
Norway,2020-03-10,2.216114569364068,1.4039688035705646,2.964226406461063
Norway,2020-03-11,2.060266123181088,1.3095346738711229,2.706111653499515
Norway,2020-03-12,1.778573221501865,1.200906908246324,2.3577962257951692
Norway,2020-03-13,1.5140628219435042,1.0604075740030299,1.9870831752579674
Norway,2020-03-14,1.328633507341127,0.9467698316987199,1.7164559928412404
Norway,2020-03-15,1.2112298505567394,0.8582236858609287,1.5713150801637346
Norway,2020-03-16,1.1718625055054073,0.8249003212916731,1.5183908682674887
Norway,2020-03-17,1.1801302655074197,0.8263447594023866,1.494387326260848
Norway,2020-03-18,1.210708384304696,0.8771551312405441,1.5537913077214756
Norway,2020-03-19,1.3123036111247122,0.9358346966406487,1.6548530081466442
Norway,2020-03-20,1.4055952623603216,1.0454910516385347,1.7852855821054594
Norway,2020-03-21,1.4349885911328895,1.0674486755538486,1.8053225277435034
Norway,2020-03-22,1.4580229920848078,1.0677298589518505,1.8076045559155762
Norway,2020-03-23,1.431737733565475,1.0622317055074333,1.785484165868901
Norway,2020-03-24,1.4041392996843252,1.0553783112351478,1.7625393837939791
Norway,2020-03-25,1.3113605850495238,0.975556880653191,1.6390220240008777
Norway,2020-03-26,1.168482625442546,0.8791392551965758,1.4913823113316464
Norway,2020-03-27,0.9805886116765138,0.6835395885386177,1.2469957289500884
Norway,2020-03-28,0.8658831733447125,0.5962858053165841,1.1130033213596722
Norway,2020-03-29,0.7962825424645575,0.5365628330541067,1.0323560952477324
Norway,2020-03-30,0.7898474011816246,0.5183149174120214,1.036616473184854
Norway,2020-03-31,0.8045736322787231,0.5404550584452716,1.0859377924004558
