state,date,ML,Low_90,High_90,Low_50,High_50
AZ,2020-03-21,3.99,2.16,5.57,3.19,4.59
AZ,2020-03-22,3.45,2.24,4.49,2.95,3.87
AZ,2020-03-23,3.09,2.14,3.9,2.68,3.4
AZ,2020-03-24,2.79,2.0,3.49,2.46,3.0700000000000003
AZ,2020-03-25,2.47,1.75,3.09,2.14,2.69
AZ,2020-03-26,2.09,1.43,2.68,1.76,2.2800000000000002
AZ,2020-03-27,1.8900000000000001,1.23,2.44,1.57,2.07
AZ,2020-03-28,1.69,1.09,2.2600000000000002,1.43,1.9100000000000001
AZ,2020-03-29,1.54,0.91,2.07,1.23,1.71
AZ,2020-03-30,1.47,0.87,2.0100000000000002,1.19,1.6600000000000001
AZ,2020-03-31,1.3900000000000001,0.78,1.9100000000000001,1.08,1.55
AZ,2020-04-01,1.46,0.87,1.98,1.17,1.6300000000000001
AZ,2020-04-02,1.58,1.02,2.1,1.29,1.74
AZ,2020-04-03,1.5,0.96,2.0100000000000002,1.21,1.6500000000000001
AZ,2020-04-04,1.43,0.89,1.92,1.1500000000000001,1.58
AZ,2020-04-05,1.24,0.71,1.73,1.0,1.42
AZ,2020-04-06,1.1,0.54,1.57,0.87,1.29
AZ,2020-04-07,0.91,0.37,1.4000000000000001,0.63,1.06
AZ,2020-04-08,0.9400000000000001,0.38,1.43,0.7000000000000001,1.1300000000000001
AZ,2020-04-09,0.98,0.43,1.48,0.6900000000000001,1.1300000000000001
AZ,2020-04-10,1.01,0.47000000000000003,1.52,0.72,1.16
AZ,2020-04-11,0.9500000000000001,0.4,1.45,0.66,1.1
AZ,2020-04-12,0.8200000000000001,0.27,1.32,0.54,0.98
AZ,2020-04-13,0.76,0.18,1.24,0.52,0.96
AZ,2020-04-14,1.01,0.42,1.51,0.73,1.18
AZ,2020-04-15,1.17,0.6,1.67,0.91,1.35
AZ,2020-04-16,1.3900000000000001,0.84,1.8800000000000001,1.12,1.55
AZ,2020-04-17,1.34,0.8200000000000001,1.83,1.07,1.49
AZ,2020-04-18,1.18,0.66,1.6600000000000001,0.96,1.37
AZ,2020-04-19,0.99,0.44,1.45,0.71,1.1300000000000001
AZ,2020-04-20,0.92,0.37,1.3900000000000001,0.67,1.09
AZ,2020-04-21,0.98,0.42,1.45,0.74,1.16
AZ,2020-04-22,1.16,0.61,1.6300000000000001,0.91,1.33
AZ,2020-04-23,1.29,0.75,1.75,1.05,1.46
CA,2020-03-12,1.52,0.0,3.19,0.6,2.1
CA,2020-03-13,1.62,0.17,2.85,0.89,2.08
CA,2020-03-14,2.24,0.99,3.36,1.6400000000000001,2.62
CA,2020-03-15,2.64,1.6300000000000001,3.5700000000000003,2.16,2.96
CA,2020-03-16,3.22,2.38,3.99,2.86,3.52
CA,2020-03-17,3.23,2.49,3.86,2.91,3.47
CA,2020-03-18,2.98,2.34,3.54,2.72,3.21
CA,2020-03-19,2.65,2.08,3.17,2.38,2.83
CA,2020-03-20,2.23,1.68,2.71,1.95,2.38
CA,2020-03-21,1.95,1.41,2.41,1.71,2.12
CA,2020-03-22,1.76,1.25,2.22,1.52,1.92
CA,2020-03-23,1.8800000000000001,1.3900000000000001,2.33,1.6400000000000001,2.0300000000000002
CA,2020-03-24,2.35,1.86,2.75,2.1,2.47
CA,2020-03-25,2.5500000000000003,2.11,2.92,2.32,2.66
CA,2020-03-26,2.67,2.27,3.0100000000000002,2.46,2.77
CA,2020-03-27,2.42,2.05,2.73,2.25,2.5300000000000002
CA,2020-03-28,2.09,1.73,2.38,1.9100000000000001,2.18
CA,2020-03-29,1.68,1.33,1.96,1.51,1.77
CA,2020-03-30,1.36,1.02,1.6400000000000001,1.18,1.44
CA,2020-03-31,1.36,1.04,1.6500000000000001,1.22,1.47
CA,2020-04-01,1.48,1.1500000000000001,1.75,1.31,1.56
CA,2020-04-02,1.59,1.28,1.86,1.44,1.68
CA,2020-04-03,1.55,1.24,1.8,1.41,1.6400000000000001
CA,2020-04-04,1.43,1.1300000000000001,1.68,1.27,1.5
CA,2020-04-05,1.22,0.9400000000000001,1.48,1.06,1.29
CA,2020-04-06,1.05,0.76,1.3,0.89,1.12
CA,2020-04-07,0.92,0.61,1.16,0.76,0.99
CA,2020-04-08,0.61,0.3,0.86,0.47000000000000003,0.7000000000000001
CA,2020-04-09,0.85,0.54,1.11,0.68,0.92
CA,2020-04-10,0.76,0.46,1.03,0.59,0.8300000000000001
CA,2020-04-11,0.74,0.43,1.01,0.59,0.8300000000000001
CA,2020-04-12,0.91,0.58,1.17,0.77,1.01
CA,2020-04-13,1.1400000000000001,0.8200000000000001,1.4000000000000001,0.98,1.22
CA,2020-04-14,1.29,0.97,1.54,1.12,1.36
CA,2020-04-15,1.55,1.25,1.8,1.4000000000000001,1.6300000000000001
CA,2020-04-16,1.26,0.96,1.5,1.1300000000000001,1.35
CA,2020-04-17,1.22,0.9500000000000001,1.48,1.09,1.31
CA,2020-04-18,1.22,0.93,1.46,1.08,1.3
CA,2020-04-19,1.29,1.01,1.53,1.1300000000000001,1.35
CA,2020-04-20,1.4000000000000001,1.12,1.6300000000000001,1.27,1.48
CA,2020-04-21,1.57,1.3,1.79,1.46,1.6600000000000001
CA,2020-04-22,1.56,1.32,1.79,1.42,1.62
CA,2020-04-23,1.47,1.22,1.68,1.35,1.54
CO,2020-03-18,2.94,0.8300000000000001,4.73,2.0,3.63
CO,2020-03-19,3.17,1.74,4.37,2.5300000000000002,3.61
CO,2020-03-20,3.23,2.19,4.18,2.75,3.5700000000000003
CO,2020-03-21,3.02,2.16,3.8000000000000003,2.6,3.2800000000000002
CO,2020-03-22,2.85,2.08,3.5100000000000002,2.48,3.0700000000000003
CO,2020-03-23,2.63,1.97,3.25,2.31,2.84
CO,2020-03-24,2.58,1.95,3.13,2.27,2.7600000000000002
CO,2020-03-25,2.52,1.95,3.04,2.25,2.7
CO,2020-03-26,2.43,1.8800000000000001,2.9,2.17,2.59
CO,2020-03-27,2.45,1.95,2.9,2.23,2.62
CO,2020-03-28,2.0,1.53,2.43,1.79,2.16
CO,2020-03-29,1.67,1.21,2.09,1.48,1.84
CO,2020-03-30,1.37,0.88,1.76,1.1500000000000001,1.51
CO,2020-03-31,1.1300000000000001,0.66,1.54,0.93,1.29
CO,2020-04-01,1.18,0.72,1.6,0.99,1.35
CO,2020-04-02,1.31,0.85,1.72,1.08,1.44
CO,2020-04-03,1.33,0.86,1.72,1.1300000000000001,1.48
CO,2020-04-04,1.36,0.91,1.75,1.1300000000000001,1.48
CO,2020-04-05,1.03,0.56,1.4000000000000001,0.79,1.1400000000000001
CO,2020-04-06,0.71,0.25,1.1,0.5,0.85
CO,2020-04-07,0.92,0.46,1.33,0.7000000000000001,1.06
CO,2020-04-08,0.84,0.38,1.25,0.62,0.98
CO,2020-04-09,1.04,0.59,1.46,0.8200000000000001,1.18
CO,2020-04-10,1.4000000000000001,0.9500000000000001,1.8,1.19,1.54
CO,2020-04-11,1.24,0.8,1.6300000000000001,1.05,1.3900000000000001
CO,2020-04-12,1.05,0.6,1.43,0.85,1.19
CO,2020-04-13,0.86,0.41000000000000003,1.25,0.63,0.98
CO,2020-04-14,0.54,0.08,0.91,0.32,0.67
CO,2020-04-15,0.81,0.32,1.21,0.56,0.93
CO,2020-04-16,0.91,0.42,1.31,0.66,1.03
CO,2020-04-17,0.92,0.46,1.34,0.67,1.04
CO,2020-04-18,1.27,0.8,1.67,1.04,1.4000000000000001
CO,2020-04-19,1.16,0.72,1.57,0.96,1.31
CO,2020-04-20,1.09,0.64,1.49,0.88,1.23
CO,2020-04-21,1.05,0.59,1.44,0.8300000000000001,1.18
CO,2020-04-22,1.09,0.63,1.48,0.87,1.22
CO,2020-04-23,1.11,0.67,1.51,0.88,1.23
CT,2020-03-19,2.36,0.39,4.0200000000000005,1.54,3.1
CT,2020-03-20,2.97,1.59,4.17,2.35,3.41
CT,2020-03-21,3.24,2.24,4.18,2.77,3.5700000000000003
CT,2020-03-22,3.46,2.62,4.18,3.09,3.73
CT,2020-03-23,3.2600000000000002,2.57,3.88,2.94,3.48
CT,2020-03-24,2.97,2.34,3.5,2.67,3.15
CT,2020-03-25,2.34,1.79,2.86,2.09,2.5300000000000002
CT,2020-03-26,2.32,1.78,2.8000000000000003,2.07,2.49
CT,2020-03-27,2.32,1.82,2.7800000000000002,2.06,2.46
CT,2020-03-28,2.48,2.0,2.9,2.2600000000000002,2.63
CT,2020-03-29,2.42,1.99,2.82,2.24,2.58
CT,2020-03-30,2.07,1.6400000000000001,2.43,1.85,2.18
CT,2020-03-31,1.92,1.51,2.27,1.75,2.06
CT,2020-04-01,1.6,1.2,1.94,1.3900000000000001,1.7
CT,2020-04-02,1.22,0.81,1.55,1.05,1.35
CT,2020-04-03,1.47,1.07,1.8,1.28,1.58
CT,2020-04-04,1.6,1.24,1.94,1.42,1.71
CT,2020-04-05,1.34,0.97,1.6600000000000001,1.1400000000000001,1.43
CT,2020-04-06,1.78,1.41,2.08,1.59,1.87
CT,2020-04-07,1.53,1.19,1.83,1.34,1.61
CT,2020-04-08,1.6500000000000001,1.32,1.94,1.48,1.74
CT,2020-04-09,1.41,1.07,1.68,1.25,1.5
CT,2020-04-10,1.2,0.89,1.49,1.04,1.29
CT,2020-04-11,0.98,0.64,1.25,0.8300000000000001,1.08
CT,2020-04-12,0.9500000000000001,0.63,1.24,0.81,1.06
CT,2020-04-13,0.68,0.35000000000000003,0.97,0.51,0.77
CT,2020-04-14,0.97,0.62,1.25,0.8,1.06
CT,2020-04-15,0.72,0.38,1.01,0.56,0.8200000000000001
CT,2020-04-16,0.6900000000000001,0.33,0.98,0.51,0.78
CT,2020-04-17,0.99,0.64,1.29,0.8200000000000001,1.09
CT,2020-04-18,1.22,0.86,1.5,1.07,1.33
CT,2020-04-19,1.86,1.52,2.13,1.7,1.95
CT,2020-04-20,1.76,1.46,2.0300000000000002,1.59,1.83
CT,2020-04-21,1.6300000000000001,1.35,1.9000000000000001,1.48,1.71
CT,2020-04-22,1.47,1.18,1.72,1.35,1.57
CT,2020-04-23,1.05,0.76,1.3,0.93,1.1500000000000001
DC,2020-03-25,2.11,0.22,3.7,1.29,2.82
DC,2020-03-26,1.93,0.49,3.15,1.26,2.38
DC,2020-03-27,1.77,0.56,2.79,1.26,2.18
DC,2020-03-28,1.78,0.71,2.68,1.3,2.11
DC,2020-03-29,1.84,0.88,2.66,1.41,2.14
DC,2020-03-30,1.92,1.06,2.69,1.53,2.2
DC,2020-03-31,1.99,1.17,2.69,1.59,2.22
DC,2020-04-01,2.0100000000000002,1.28,2.7,1.6400000000000001,2.23
DC,2020-04-02,1.9100000000000001,1.19,2.54,1.56,2.12
DC,2020-04-03,1.78,1.08,2.38,1.43,1.97
DC,2020-04-04,1.6300000000000001,0.98,2.24,1.32,1.84
DC,2020-04-05,1.6500000000000001,1.01,2.24,1.34,1.85
DC,2020-04-06,1.57,0.9500000000000001,2.15,1.25,1.75
DC,2020-04-07,1.48,0.86,2.04,1.18,1.67
DC,2020-04-08,1.37,0.74,1.9100000000000001,1.09,1.57
DC,2020-04-09,1.23,0.61,1.77,0.93,1.41
DC,2020-04-10,1.01,0.4,1.56,0.72,1.2
DC,2020-04-11,0.84,0.23,1.3900000000000001,0.53,1.02
DC,2020-04-12,0.7000000000000001,0.09,1.23,0.41000000000000003,0.9
DC,2020-04-13,0.84,0.19,1.4000000000000001,0.54,1.05
DC,2020-04-14,0.99,0.31,1.55,0.7000000000000001,1.21
DC,2020-04-15,1.23,0.6,1.82,0.96,1.46
DC,2020-04-16,1.35,0.72,1.9100000000000001,1.06,1.55
DC,2020-04-17,1.35,0.73,1.8900000000000001,1.05,1.53
DC,2020-04-18,1.31,0.6900000000000001,1.83,1.02,1.49
DC,2020-04-19,1.1500000000000001,0.54,1.67,0.84,1.31
DC,2020-04-20,1.08,0.47000000000000003,1.6,0.77,1.24
DC,2020-04-21,1.02,0.42,1.55,0.72,1.19
DC,2020-04-22,0.96,0.34,1.48,0.68,1.1500000000000001
DC,2020-04-23,0.99,0.36,1.51,0.72,1.19
DE,2020-03-27,1.76,0.05,3.41,0.91,2.46
DE,2020-03-28,1.72,0.23,2.95,1.07,2.25
DE,2020-03-29,1.76,0.51,2.87,1.17,2.16
DE,2020-03-30,1.6300000000000001,0.53,2.62,1.12,1.99
DE,2020-03-31,1.6,0.59,2.5100000000000002,1.17,1.96
DE,2020-04-01,1.78,0.85,2.63,1.37,2.1
DE,2020-04-02,1.93,1.06,2.71,1.52,2.2
DE,2020-04-03,1.85,1.03,2.58,1.46,2.1
DE,2020-04-04,2.09,1.31,2.77,1.74,2.34
DE,2020-04-05,1.87,1.1300000000000001,2.5100000000000002,1.52,2.09
DE,2020-04-06,2.04,1.36,2.67,1.73,2.27
DE,2020-04-07,2.0,1.33,2.58,1.72,2.23
DE,2020-04-08,1.8900000000000001,1.28,2.47,1.61,2.1
DE,2020-04-09,1.61,0.99,2.15,1.31,1.79
DE,2020-04-10,1.4000000000000001,0.78,1.93,1.1400000000000001,1.61
DE,2020-04-11,1.0,0.4,1.55,0.6900000000000001,1.17
DE,2020-04-12,1.1300000000000001,0.49,1.67,0.81,1.3
DE,2020-04-13,0.99,0.35000000000000003,1.53,0.68,1.17
DE,2020-04-14,1.34,0.73,1.9000000000000001,1.07,1.55
DE,2020-04-15,1.25,0.63,1.78,0.99,1.46
DE,2020-04-16,1.3,0.7000000000000001,1.83,1.0,1.47
DE,2020-04-17,1.17,0.58,1.7,0.9,1.36
DE,2020-04-18,1.16,0.55,1.67,0.88,1.34
DE,2020-04-19,1.29,0.6900000000000001,1.8,0.99,1.45
DE,2020-04-20,1.41,0.84,1.92,1.12,1.57
DE,2020-04-21,1.32,0.76,1.82,1.04,1.48
DE,2020-04-22,1.34,0.8,1.84,1.08,1.51
DE,2020-04-23,1.08,0.52,1.56,0.81,1.24
FL,2020-03-16,3.0100000000000002,1.22,4.54,2.2,3.5700000000000003
FL,2020-03-17,3.08,1.9100000000000001,4.11,2.52,3.43
FL,2020-03-18,2.9,2.0,3.72,2.48,3.19
FL,2020-03-19,2.74,1.96,3.42,2.39,2.99
FL,2020-03-20,2.8000000000000003,2.14,3.42,2.48,3.0100000000000002
FL,2020-03-21,2.68,2.06,3.22,2.38,2.86
FL,2020-03-22,2.5,1.92,2.99,2.23,2.67
FL,2020-03-23,2.66,2.12,3.11,2.4,2.81
FL,2020-03-24,2.5100000000000002,2.02,2.93,2.2600000000000002,2.64
FL,2020-03-25,2.68,2.23,3.0700000000000003,2.45,2.8000000000000003
FL,2020-03-26,2.45,2.02,2.8000000000000003,2.25,2.57
FL,2020-03-27,2.45,2.07,2.79,2.2600000000000002,2.56
FL,2020-03-28,2.25,1.8800000000000001,2.56,2.07,2.35
FL,2020-03-29,1.8800000000000001,1.53,2.18,1.7,1.97
FL,2020-03-30,1.6,1.27,1.9000000000000001,1.44,1.7
FL,2020-03-31,1.6400000000000001,1.3,1.92,1.47,1.73
FL,2020-04-01,1.6400000000000001,1.3,1.9000000000000001,1.47,1.72
FL,2020-04-02,1.7,1.37,1.95,1.54,1.78
FL,2020-04-03,1.53,1.22,1.78,1.3800000000000001,1.61
FL,2020-04-04,1.44,1.1400000000000001,1.69,1.28,1.51
FL,2020-04-05,1.1,0.8200000000000001,1.36,0.9400000000000001,1.17
FL,2020-04-06,0.77,0.48,1.03,0.62,0.85
FL,2020-04-07,0.6,0.29,0.86,0.43,0.67
FL,2020-04-08,0.58,0.25,0.84,0.44,0.68
FL,2020-04-09,0.6900000000000001,0.36,0.96,0.52,0.77
FL,2020-04-10,0.86,0.53,1.1300000000000001,0.6900000000000001,0.9400000000000001
FL,2020-04-11,0.85,0.53,1.1300000000000001,0.6900000000000001,0.9400000000000001
FL,2020-04-12,1.06,0.73,1.33,0.89,1.1400000000000001
FL,2020-04-13,0.8300000000000001,0.51,1.11,0.67,0.92
FL,2020-04-14,0.81,0.48,1.09,0.66,0.91
FL,2020-04-15,0.9,0.58,1.19,0.77,1.02
FL,2020-04-16,0.93,0.61,1.22,0.79,1.04
FL,2020-04-17,0.87,0.53,1.1500000000000001,0.6900000000000001,0.9500000000000001
FL,2020-04-18,0.92,0.59,1.21,0.75,1.01
FL,2020-04-19,0.77,0.42,1.05,0.6,0.86
FL,2020-04-20,0.72,0.38,1.02,0.59,0.85
FL,2020-04-21,0.56,0.21,0.86,0.39,0.66
FL,2020-04-22,0.58,0.21,0.88,0.39,0.67
FL,2020-04-23,0.71,0.35000000000000003,1.03,0.55,0.8300000000000001
GA,2020-03-16,2.94,0.8300000000000001,4.73,2.0,3.63
GA,2020-03-17,3.17,1.74,4.37,2.5300000000000002,3.61
GA,2020-03-18,3.13,2.05,4.0600000000000005,2.62,3.45
GA,2020-03-19,2.87,1.98,3.65,2.45,3.14
GA,2020-03-20,2.72,1.94,3.4,2.37,2.97
GA,2020-03-21,2.64,1.97,3.2800000000000002,2.33,2.87
GA,2020-03-22,2.5,1.85,3.06,2.19,2.69
GA,2020-03-23,2.45,1.87,2.99,2.19,2.65
GA,2020-03-24,2.52,1.99,3.0300000000000002,2.27,2.7
GA,2020-03-25,2.46,1.94,2.91,2.22,2.62
GA,2020-03-26,2.23,1.75,2.66,1.98,2.36
GA,2020-03-27,1.79,1.32,2.2,1.59,1.95
GA,2020-03-28,1.94,1.5,2.35,1.74,2.09
GA,2020-03-29,2.04,1.61,2.42,1.81,2.15
GA,2020-03-30,2.16,1.76,2.52,1.94,2.2600000000000002
GA,2020-03-31,2.0,1.62,2.34,1.8,2.1
GA,2020-04-01,1.62,1.25,1.95,1.44,1.73
GA,2020-04-02,1.18,0.8,1.5,0.99,1.28
GA,2020-04-03,0.87,0.5,1.21,0.66,0.96
GA,2020-04-04,0.99,0.61,1.33,0.79,1.09
GA,2020-04-05,1.58,1.21,1.9100000000000001,1.4000000000000001,1.69
GA,2020-04-06,1.86,1.51,2.17,1.71,1.98
GA,2020-04-07,1.8900000000000001,1.54,2.17,1.72,1.98
GA,2020-04-08,1.5,1.17,1.78,1.35,1.6
GA,2020-04-09,0.89,0.5700000000000001,1.18,0.76,1.01
GA,2020-04-10,0.56,0.23,0.86,0.41000000000000003,0.67
GA,2020-04-11,0.36,0.02,0.63,0.22,0.48
GA,2020-04-12,0.61,0.25,0.93,0.44,0.72
GA,2020-04-13,0.96,0.6,1.28,0.79,1.07
GA,2020-04-14,1.41,1.06,1.72,1.26,1.53
GA,2020-04-15,1.4000000000000001,1.05,1.69,1.21,1.48
GA,2020-04-16,1.33,0.98,1.61,1.16,1.42
GA,2020-04-17,0.98,0.63,1.26,0.81,1.07
GA,2020-04-18,0.81,0.46,1.1,0.62,0.89
GA,2020-04-19,0.78,0.43,1.08,0.61,0.88
GA,2020-04-20,0.88,0.51,1.17,0.71,0.98
GA,2020-04-21,0.87,0.51,1.17,0.71,0.98
GA,2020-04-22,1.18,0.84,1.49,1.01,1.28
GA,2020-04-23,1.17,0.8300000000000001,1.47,0.99,1.26
HI,2020-04-01,1.54,0.0,3.24,0.67,2.19
HI,2020-04-02,1.51,0.09,2.74,0.8300000000000001,2.02
HI,2020-04-03,1.4000000000000001,0.17,2.47,0.84,1.85
HI,2020-04-04,1.2,0.14,2.17,0.67,1.57
HI,2020-04-05,1.08,0.06,1.94,0.55,1.3900000000000001
HI,2020-04-06,0.86,0.01,1.7,0.43,1.2
HI,2020-04-07,0.66,0.0,1.55,0.22,0.9400000000000001
HI,2020-04-08,0.56,0.0,1.48,0.19,0.87
HI,2020-04-09,0.55,0.0,1.47,0.19,0.86
HI,2020-04-10,0.53,0.0,1.46,0.15,0.8200000000000001
HI,2020-04-11,0.52,0.0,1.45,0.16,0.8200000000000001
HI,2020-04-12,0.51,0.0,1.45,0.13,0.79
HI,2020-04-13,0.45,0.0,1.4000000000000001,0.11,0.74
HI,2020-04-14,0.45,0.0,1.4000000000000001,0.1,0.73
HI,2020-04-15,0.44,0.0,1.4000000000000001,0.08,0.71
HI,2020-04-16,0.47000000000000003,0.0,1.45,0.12,0.77
HI,2020-04-17,0.5,0.0,1.49,0.15,0.8200000000000001
HI,2020-04-18,0.52,0.0,1.53,0.17,0.86
HI,2020-04-19,0.5,0.0,1.51,0.15,0.8300000000000001
HI,2020-04-20,0.43,0.0,1.45,0.14,0.78
HI,2020-04-21,0.39,0.0,1.3900000000000001,0.07,0.68
HI,2020-04-22,0.38,0.0,1.3900000000000001,0.05,0.66
HI,2020-04-23,0.35000000000000003,0.0,1.35,0.03,0.61
IA,2020-03-26,2.2800000000000002,0.36,3.88,1.4000000000000001,2.92
IA,2020-03-27,2.52,1.1400000000000001,3.72,1.9100000000000001,2.97
IA,2020-03-28,2.35,1.27,3.3200000000000003,1.8800000000000001,2.72
IA,2020-03-29,2.12,1.19,2.96,1.69,2.42
IA,2020-03-30,1.9100000000000001,1.06,2.67,1.54,2.2
IA,2020-03-31,1.7,0.89,2.41,1.3,1.93
IA,2020-04-01,1.59,0.84,2.3000000000000003,1.25,1.85
IA,2020-04-02,1.53,0.76,2.19,1.17,1.76
IA,2020-04-03,1.46,0.71,2.11,1.09,1.67
IA,2020-04-04,1.43,0.73,2.1,1.07,1.6400000000000001
IA,2020-04-05,1.43,0.72,2.07,1.08,1.6400000000000001
IA,2020-04-06,1.44,0.73,2.06,1.1,1.6500000000000001
